callID;target_name;Organism;ArcZ;ChiX;CyaR;DsrA;FnrS;GcvB;MicA;MicC;MicF;OxyS;RprA;RybB;RyhB;SgrS;Spot42
X-M-intLenMax20;NC_000913;NC_000913;17832;17152;17076;17084;17508;17588;17016;17500;17052;17544;17024;17032;17068;17552;17500
X-M-intLenMax20;NC_003197;NC_003197;17844;17372;17308;17064;17568;17608;17116;17292;17372;21440;17304;17348;17108;19640;17532
X-M-intLenMax30;NC_000913;NC_000913;17912;17388;17388;17356;21924;18008;17416;17956;17448;17916;17468;17444;17400;19208;17844
X-M-intLenMax30;NC_003197;NC_003197;17868;17436;17420;17380;18028;19248;17396;17924;17484;17880;17416;17460;17500;17992;17852
X-M-intLenMax40;NC_000913;NC_000913;18520;17992;17960;17968;18456;19744;17908;18448;17940;18444;18084;21904;17964;19732;18412
X-M-intLenMax40;NC_003197;NC_003197;18440;20028;17992;17976;18496;19760;17928;18428;17976;18460;18012;17932;17996;19720;18456
X-M-intLenMax50;NC_000913;NC_000913;18980;18512;18508;18616;18980;20292;18444;18980;18524;18988;18616;18464;18536;20372;18964
X-M-intLenMax50;NC_003197;NC_003197;19008;18524;18572;18568;18988;20276;18484;19008;18532;19016;18648;18560;18552;20288;18976
default;NC_000913;NC_000913;60084;47816;47844;49440;60436;87520;43952;56192;50712;56212;54664;46132;49796;96192;56212
default;NC_003197;NC_003197;59260;46868;47424;48180;60436;87564;44352;55868;50744;57024;54664;46160;49452;104188;56636
