callID;target_name;Organism;ArcZ;ChiX;CyaR;DsrA;FnrS;GcvB;MicA;MicC;MicF;OxyS;RprA;RybB;RyhB;SgrS;Spot42
X-M-intLenMax20;NC_000913;NC_000913;82.26;50.52;46.96;54.99;85.08;228.11;48.21;78.96;62.87;53.43;70.16;73.62;66.29;182.83;63.63
X-M-intLenMax20;NC_003197;NC_003197;55.55;59.5;50.23;50.43;91.99;243.85;54.06;74.49;66.78;54.21;76.06;80.14;68.35;195.73;67.16
X-M-intLenMax30;NC_000913;NC_000913;488.33;220.04;175.79;256.26;518.68;1776.66;164.07;463.34;311.95;236.75;399.5;379.78;353.47;1344.79;323.28
X-M-intLenMax30;NC_003197;NC_003197;262.03;280.41;191.37;182.55;563.21;1896.87;207.64;399.37;333.26;227.93;442.35;414.04;369.95;1431.48;340.41
X-M-intLenMax40;NC_000913;NC_000913;1668.25;719.02;524.36;812.12;1787.48;6424.3;440.42;1520.87;980.56;748.82;1404.46;1081.71;1145.29;4827.84;1046.85
X-M-intLenMax40;NC_003197;NC_003197;868.81;905.15;566.52;548.12;1944.99;6862.83;582.03;1257.98;1055.12;719.8;1556.62;1181.58;1220.44;5113.88;1102.95
X-M-intLenMax50;NC_000913;NC_000913;4106.86;1678.42;1177.32;1881.02;4433.02;16375.9;914.71;3649.31;2230.58;1760.5;3511.21;2400.3;2658.78;12361.42;2532.56
X-M-intLenMax50;NC_003197;NC_003197;2169.98;2075.03;1269.1;1227.14;4829.46;17435.87;1224.99;2954.54;2435.24;1726.12;3876.55;2611.78;2869.41;12963.48;2674.21
default;NC_000913;NC_000913;8155.57;4138.85;4095.81;5341.27;8900.6;17196.11;4034.62;7317.38;5919.62;5805.44;6188.82;5378.71;5145.63;18302.84;7600.79
default;NC_003197;NC_003197;6911.9;4833.74;4324.82;4780.27;9323.85;18214.79;4732.94;8228.18;6287.12;5952.01;6716.53;5792.67;5959.78;19467.2;8258.56
