callID;target_name;Organism;ArcZ;ChiX;CyaR;DsrA;FnrS;GcvB;MicA;MicC;MicF;OxyS;RprA;RybB;RyhB;SgrS;Spot42
X-H-intLenMax100;NC_003197;NC_003197;1079.09;814.56;567.38;475.51;2353.38;7723.09;601.5;1510.38;1131.32;797.5;1392.22;1267.73;1022.61;6731.64;1472.16
X-H-intLenMax100;NC_000913;NC_000913;1970.02;564.33;517.91;626.03;2203.17;7202.15;492.41;1579.32;1083.97;802.76;1272.85;1150.61;1002.08;6407.18;1372.0
X-H-intLenMax20;NC_000913;NC_000913;45.06;37.45;36.71;38.06;48.73;75.72;36.43;44.5;41.83;41.24;43.06;42.99;42.95;68.26;43.29
X-H-intLenMax20;NC_003197;NC_003197;42.78;43.26;41.66;41.51;52.23;81.64;42.29;45.73;44.19;42.53;45.66;46.19;44.4;73.25;43.51
X-H-intLenMax30;NC_000913;NC_000913;128.68;76.54;66.61;81.17;138.13;325.55;63.47;119.42;90.23;79.42;103.86;99.64;97.35;283.38;101.7
X-H-intLenMax30;NC_003197;NC_003197;87.3;90.69;71.71;70.84;147.4;352.12;72.21;106.98;95.39;79.65;113.14;106.73;102.85;291.05;107.77
X-H-intLenMax40;NC_000913;NC_000913;294.37;152.07;119.09;156.92;320.19;855.12;109.69;267.52;186.01;155.47;235.16;198.97;204.37;723.85;217.44
X-H-intLenMax40;NC_003197;NC_003197;182.03;186.93;127.21;126.06;343.37;928.09;131.75;231.62;196.5;151.56;257.26;213.88;220.13;741.27;228.46
X-H-intLenMax50;NC_003197;NC_003197;320.2;306.43;200.62;192.27;617.09;1723.56;213.2;404.13;335.58;250.61;459.19;368.05;365.46;1384.29;404.29
X-H-intLenMax50;NC_000913;NC_000913;528.65;243.3;189.67;249.83;575.09;1593.91;177.46;464.14;316.81;251.0;420.44;340.36;347.66;1358.12;379.26
X-H-intLenMax60;NC_000913;NC_000913;812.64;322.26;267.29;345.54;874.34;2498.39;259.53;701.65;460.98;363.35;619.15;520.73;497.32;2168.55;585.62
X-H-intLenMax60;NC_003197;NC_003197;478.84;423.66;288.44;263.52;937.02;2690.8;310.95;618.43;488.12;371.72;674.91;565.6;521.09;2244.51;620.96
X-H-intLenMax70;NC_000913;NC_000913;1105.77;392.36;343.89;430.01;1232.08;3570.82;340.67;934.75;620.83;477.89;828.44;734.9;645.89;3195.66;779.44
X-H-intLenMax70;NC_003197;NC_003197;647.19;540.09;372.27;328.52;1317.05;3838.89;412.31;842.17;660.92;481.82;904.97;803.7;675.5;3203.53;836.85
X-H-intLenMax80;NC_000913;NC_000913;1412.72;457.58;416.35;501.58;1568.32;4734.44;394.67;1149.2;789.88;600.6;992.11;916.75;797.95;4232.28;976.72
X-H-intLenMax80;NC_003197;NC_003197;817.09;646.78;445.46;383.89;1670.96;5082.29;481.68;1047.68;841.6;592.76;1084.28;1001.2;802.03;4285.71;1046.2
default;NC_003197;NC_003197;6911.9;4833.74;4324.82;4780.27;9323.85;18214.79;4732.94;8228.18;6287.12;5952.01;6716.53;5792.67;5959.78;19467.2;8258.56
default;NC_000913;NC_000913;8155.57;4138.85;4095.81;5341.27;8900.6;17196.11;4034.62;7317.38;5919.62;5805.44;6188.82;5378.71;5145.63;18302.84;7600.79
