callID;target_name;Organism;ArcZ;ChiX;CyaR;DsrA;FnrS;GcvB;MicA;MicC;MicF;OxyS;RprA;RybB;RyhB;SgrS;Spot42
X-R-intLenMax100;NC_003197;NC_003197;22288;21156;21252;21148;22460;23204;21096;22408;21624;22048;21692;21176;21340;23432;22188
X-R-intLenMax100;NC_000913;NC_000913;22364;25180;21216;21244;22392;23204;20836;21948;21492;22104;21620;21156;21364;25072;22196
X-R-intLenMax20;NC_000913;NC_000913;17476;17396;17404;17412;17896;17932;17488;17888;17304;17276;17032;17028;17176;17504;17000
X-R-intLenMax20;NC_003197;NC_003197;17204;17208;17076;17040;17564;17268;21072;17540;17108;17272;17032;17112;17252;17952;21068
X-R-intLenMax30;NC_000913;NC_000913;18288;17680;17604;17568;18040;21644;17520;17984;17476;17584;17436;17452;17556;17712;17896
X-R-intLenMax30;NC_003197;NC_003197;21504;21580;17440;17400;17968;18112;17456;17472;17464;18120;17688;17720;17776;18476;18164
X-R-intLenMax40;NC_000913;NC_000913;18680;18116;18044;18056;18512;18052;17952;18456;17992;18628;17996;17968;18040;18688;18468
X-R-intLenMax40;NC_003197;NC_003197;18560;18076;18012;18016;18516;18544;18112;18624;18108;18772;18176;18052;18184;18764;18488
X-R-intLenMax50;NC_003197;NC_003197;19148;18588;18552;18568;19100;19152;18628;19112;18676;19240;18608;18512;18596;19360;19068
X-R-intLenMax50;NC_000913;NC_000913;19228;18552;18580;18548;19052;19092;18424;19028;22540;19156;18608;18468;18600;19296;19056
X-R-intLenMax60;NC_000913;NC_000913;19352;19108;19168;19144;19776;19796;18964;19692;19148;19708;19252;19048;19116;19880;19296
X-R-intLenMax60;NC_003197;NC_003197;19892;19172;19212;19212;19848;19868;19040;19740;19212;19772;19348;19196;19204;19920;19708
X-R-intLenMax70;NC_000913;NC_000913;20444;19576;19604;19680;20412;20552;19504;20308;19796;20176;19892;19656;19716;21864;20364
X-R-intLenMax70;NC_003197;NC_003197;20500;19656;19692;19624;20436;20664;19696;20384;19832;19904;19892;19632;19684;20676;19892
X-R-intLenMax80;NC_000913;NC_000913;21032;20068;20240;20280;21036;21480;23988;20916;20416;20440;20428;20168;20280;21488;20968
X-R-intLenMax80;NC_003197;NC_003197;21024;20180;20200;20176;21132;21448;20020;20920;20444;20836;20484;20208;20292;21508;21044
default;NC_003197;NC_003197;59260;46868;47424;48180;60436;87564;44352;55868;50744;57024;54664;46160;49452;104188;56636
default;NC_000913;NC_000913;60084;47816;47844;49440;60436;87520;43952;56192;50712;56212;54664;46132;49796;96192;56212
