callID;target_name;Organism;ArcZ;ChiX;CyaR;DsrA;FnrS;GcvB;MicA;MicC;MicF;OxyS;RprA;RybB;RyhB;SgrS;Spot42
X-R-intLenMax100;NC_003197;NC_003197;137.54;137.5;130.81;124.53;196.57;455.97;130.49;164.8;150.46;140.77;167.69;160.76;154.19;418.15;155.34
X-R-intLenMax100;NC_000913;NC_000913;179.14;126.19;124.46;130.56;185.03;429.18;122.03;166.02;142.93;135.89;156.96;150.67;144.36;382.23;147.69
X-R-intLenMax20;NC_000913;NC_000913;36.9;33.82;33.63;34.66;40.8;47.03;33.27;36.73;36.63;38.86;39.78;39.0;38.74;46.81;38.78
X-R-intLenMax20;NC_003197;NC_003197;39.99;41.5;40.65;40.34;44.66;50.35;40.18;41.74;40.89;41.72;41.15;41.51;41.3;50.28;41.11
X-R-intLenMax30;NC_000913;NC_000913;54.59;46.62;46.86;48.13;57.19;75.39;48.26;53.63;52.88;51.34;54.02;52.4;51.81;71.32;53.31
X-R-intLenMax30;NC_003197;NC_003197;53.66;55.17;53.09;52.76;61.1;80.09;54.0;55.95;54.9;54.26;53.34;53.35;52.9;76.9;52.83
X-R-intLenMax40;NC_000913;NC_000913;70.32;60.3;58.49;60.65;72.52;106.34;60.8;67.42;65.28;62.79;68.1;65.87;66.25;98.82;65.24
X-R-intLenMax40;NC_003197;NC_003197;66.26;66.29;64.35;65.37;78.19;113.23;60.71;68.05;66.44;63.25;70.52;68.43;67.28;104.74;68.33
X-R-intLenMax50;NC_003197;NC_003197;71.0;78.23;76.64;75.73;91.92;153.88;74.38;83.01;79.09;77.27;87.66;84.88;84.78;141.57;82.64
X-R-intLenMax50;NC_000913;NC_000913;79.76;73.06;72.28;74.99;86.69;147.81;71.1;83.23;78.0;75.27;82.73;79.92;78.54;131.69;76.78
X-R-intLenMax60;NC_000913;NC_000913;103.26;83.52;81.76;84.55;107.49;191.87;82.52;99.62;90.73;87.31;98.37;94.4;92.68;172.06;92.45
X-R-intLenMax60;NC_003197;NC_003197;92.64;89.59;85.85;83.88;114.11;202.75;89.25;99.53;95.32;90.89;104.57;99.02;96.84;183.63;98.07
X-R-intLenMax70;NC_000913;NC_000913;124.64;94.87;93.6;96.95;127.54;245.12;92.59;115.73;103.19;101.09;114.66;108.6;106.51;218.02;105.37
X-R-intLenMax70;NC_003197;NC_003197;106.26;103.16;99.57;97.5;135.59;259.64;98.01;114.75;108.91;104.93;123.1;116.5;112.8;234.04;112.14
X-R-intLenMax80;NC_000913;NC_000913;144.2;104.96;104.05;107.16;146.35;304.87;102.14;132.05;116.95;112.26;129.61;123.23;119.8;268.53;119.13
X-R-intLenMax80;NC_003197;NC_003197;120.29;115.24;110.29;108.03;155.5;324.72;110.44;131.46;122.91;116.52;138.18;131.18;128.07;289.44;125.44
default;NC_003197;NC_003197;6911.9;4833.74;4324.82;4780.27;9323.85;18214.79;4732.94;8228.18;6287.12;5952.01;6716.53;5792.67;5959.78;19467.2;8258.56
default;NC_000913;NC_000913;8155.57;4138.85;4095.81;5341.27;8900.6;17196.11;4034.62;7317.38;5919.62;5805.44;6188.82;5378.71;5145.63;18302.84;7600.79
